Unnamed: 0,lang,text
176,hi,उसने समाचार पत्र में समाचार प्रकाशित करवाया।
177,hi,17th Lok Sabha First session begins today:  17वीं लोक सभा का पहला सत्र सोमवार को शुरू हो गया.
178,hi,"डॆबरा कहती है: “जब मैं 22 साल की थी, तब मुझे एक बहुत बड़ा फैसला करना था । ”"
179,hi,मोबाइल नंबर अपडेट करवाने के लिए
180,hi,"लेकिन जैसे-जैसे शाम ढ़लने लगी, कुछ बिन बुलाए मेहमान आ धमके."
181,hi,"मुझे वो हासिल करने में अभी लंबा वक्त तय करना है, लेकिन मैं कोशिश कर रही हूं।"
182,hi,"मगर आत्मा से अभिषिक्‍त होने से किसी को बढ़िया समझ हासिल नहीं होती, क्योंकि पौलुस को कुछ अभिषिक्‍त मसीहियों को कई बातें सिखानी पड़ीं और ताड़ना देनी पड़ी ।"
183,hi,यह कहा था मंत्री ने
184,hi,इसके बाद उन्होंने उसे निर्वस्त्र कर दिया.
185,hi,नए फ़ोल्डर के लिए डिफ़ॉल्ट के रूप में प्रयोग करें@ info
186,hi,कीमत 40 रूपये है।
187,hi,सरकार की और से इसपर अभी कोई प्रतिक्रिया नहीं मिल पाई है।
188,hi,इस एक्शन-थ्रिलर फिल्म के संवाद और स्क्रीनप्ले जावेद अख्तर तथा सलीम खान की जोड़ी ने लिखे थे।
189,hi,ग्वार बीज में देश के पहले एग्री-कमोडिटी ऑप्शंस का अनावरण केंद्रीय वित मंत्री श्री अरुण जेटली द्वारा मकर संक्रांति के पावन अवसर पर किया जाएगा जो अपनी तरह का यह पहला अनोखा हेजिंग टूल है और यह किसानों के लिए बेहद महत्वपूर्ण बदलाव लाने में सहायक साबित होगा
190,hi,"केवल परवर्ती घटक जिसे अल्फा द्वारा मापा जाता है, प्रबंधक के सच्चे प्रदर्शन के मूल्यांकन की अनुमति देता है (लेकिन तभी जब आप यह मान लें कि कोई भी बहिर्प्रदर्शन कौशल की वजह से न कि भाग्य से हुआ है). कारक मॉडलों का इस्तेमाल करके पोर्टफोलियो प्रतिफल का मूल्यांकन किया जा सकता है।"
191,hi,भारत भूटान और उसके हितों के प्रति संवेदनशील है और रहेगा।
192,hi,"राफेल पर 'सुप्रीम फैसले' के बाद BJP ने राहुल गांधी और कांग्रेस के खिलाफ खोला मोर्चा, कहा-माफी मांगें राहुल"
193,hi,"एक अधिकारी ने कहा, 'हमारे सैनिकों ने प्रभावी और दृढ़ता से जवाबी कार्रवाई की।"
194,hi,उन्होने कहा कि कम पढ़े लिखे युवाओं के लिए ड्राइवर स्किल प्रोग्राम भी शुरू किया गया है।
195,hi,"वरिष्ठ कांग्रेस नेता राहुल गांधी और प्रियंका गांधी की अगुआई में एक प्रतिनिधिमंडल एनएचआरसी के शीर्ष अधिकारियों से मिला और 31 पृष्ठ की व्यापक प्रस्तुति सौंपी, जिसमें राज्य में कथित अत्याचार और मानवाधिकार उल्लंघनों के सबूत के रूप में वीडियो और तस्वीर शामिल हैं।"
196,hi,"प्रधानमंत्री आवास योजना 2022 तक सभी को किफायती आवास उपलब्ध कराने का कार्यक्रम है, जिनमें से प्रत्येक आवास शौचालय, बिजली के कनेक्शन, एलपीजी, पेयजल से युक्त होगा और सभी का जनधन योजना के तहत बैंक खाता होगा"
197,hi,"माल्या के खिलाफ इस दावे में भारतीय स्टेट बैंक, बैंक ऑफ बड़ौदा, कारपोरेशन बैंक, फेडरल बैंक लिमिटेड, आईडीबीआई बैंक, इंडियन ओवरसीज बैंक, जम्मू एंड कश्मीर बैंक, पंजाब एंड सिंध बैंक, पंजाब नेशनल बैंक, स्टेट बैंक ऑफ मैसूर, यूको बैंक, यूनाइटेड बैंक ऑफ इंडिया और जेएम फाइनेंशियल एसेट रीकंस्ट्रक्शंस कंपनी प्राइवेट लिमिटेड सूचीबद्ध आवेदक हैं."
198,hi,श्री भक्त एक वरिष्ठ सांसद थे जो लोगों की भावनाओं को समझते थे।
199,hi,उनकी हत्या के मामले की पुलिस जांच चल रही है.
0,ml,"തൊഴില്‍ നഷ്ടപ്പെട്ടവര്‍, രോഗബാധിതര്‍, സന്ദര്‍ശന വിസയിലെത്തി കുടുങ്ങിയവര്‍, ഗര്‍ഭിണികള്‍, പ്രായമായവര്‍, ആശ്രിതരുടെ മരണത്തെ തുടര്‍ന്ന് നാട്ടിലേക്ക് മടങ്ങുന്നവര്‍ തുടങ്ങിയവരായിരുന്നു യാത്രക്കാര്‍."
1,ml,പുനരുല്‍പ്പാദന ഈര്‍ജ്ജ മേഖലകളില്‍ ഗവണ്‍മെന്റ് മത്സരാധിഷ്ഠിത ലേലം കൊണ്ടുവരിക വഴി ഉപഭോക്താക്കള്‍ക്ക് താങ്ങാവുന്ന നിരക്ക് ഉറപ്പു വരുത്തി.
2,ml,മുഖ്യമന്ത്രി എന്ന പദവിയില്‍ തന്നെ കെട്ടിയിടാന്‍ താന്‍ ആഗ്രഹിക്കുന്നില്ലെന്നും.
3,ml,‘‘ഇതെപ്പിടിയാവുമോ എന്തോ?
4,ml,വിദേശകാര്യ സഹമന്ത്രി വി മുരളീധരന്‍ ലോക്‌സഭയില്‍ വ്യക്തമാക്കിയതാണ് ഇക്കാര്യങ്ങൾ.
5,ml,ദേശാഭിമാനി പത്രത്തിൻറെ ലേഖികയായി പ്രവർത്തിച്ചു.
6,ml,ഇത്തവണ അങ്ങനെയല്ലെന്നുള്ള സന്തോഷമുണ്ട്.
7,ml,രണ്ടാമൂഴത്തിൽ മോദി ആദ്യം പോകുക മാലദ്വീപിലേക്ക്
8,ml,പല കാരണങ്ങള്‍
9,ml,പത്തര കോടി രൂപയുടെ അഴിമതി നടന്നതായാണ് ആരോപണം.
10,ml,മലപ്പുറത്തെ പ്രതിഷേധ സംഗമം ഉദ്ഘാടനം ചെയ്യുന്നത് പ്രതിപക്ഷ നേതാവ് രമേശ് ചെന്നിത്തലയാണ്.
11,ml,എന്നാല്‍ വിദേശികള്‍ ആരുമുണ്ടായിരുന്നില്ല.
12,ml,"അങ്ങനെ ഈ കേസിൽ, നടത്തിയിട്ടില്ല സംഭവിച്ചില്ല."
13,ml,"സീനത്ത്, എന്‍എസ്എസ് പ്രോഗ്രാം ഓഫീസര്‍ ശ്രീ ബാലാജി എം.എന്‍., വര്‍ക്ക്‌ഷോപ്പ് ഫോര്‍മാന്‍ ശ്രീ നാരായണ്‍ എന്നിവര്‍ പ്രസംഗിച്ചു."
14,ml,ആളുകള്‍ക്കു ചിരിക്കാന്‍ നല്ലരസം.
15,ml,ആരുടെകൂടെ ആയിരിക്കും?
16,ml,അവളെപ്പോലെ ആയിരിക്കാൻ ഞാൻ എത്രമാത്രം ആഗ്രഹിച്ചെന്നോ!
17,ml,യു. എസിലെ ആദ്യ വനിത സ്ഥാനപതിയായി റീമ ബിന്‍ത് ബന്‍ദാര്‍ രാജകുമാരിയെ സൗദി അറേബ്യ പ്രഖ്യാപിച്ചു
18,ml,അവള്‍ക്ക് പറ്റില്ല.
19,ml,അദ്ദേഹമാണ് നമ്മെ നയിച്ചുകൊണ്ടിരിക്കുന്നത്.
20,ml,സര്‍ക്കാരുണ്ടാക്കാനായി ബിജെപിയെയും ശിവസേനയെയും എന്‍സിപിയെയും ഗവര്‍ണര്‍ ക്ഷണിച്ചിരുന്നു.
21,ml,"മഹാത്മാ ഗാന്ധിയുടേതല്ല, രാഹുല്‍ ഗാന്ധിയുടെ കോണ്‍ഗ്രസാണ് ഇന്നുള്ളത്."
22,ml,അത് തോന്നിയ പോലെ എളുപ്പമല്ല ചെയ്ക.
23,ml,എന്നാല്‍ തിരഞ്ഞെടുപ്പില്‍ മത്സരിക്കുന്നത് വിജയിക്കാന്‍ വേണ്ടി മാത്രമല്ല.
24,ml,ഇയാളെപ്പോലുള്ള ആരെങ്കിലും നിങ്ങളുടെ അറിവിലുണ്ടോ?
25,ml,പിന്നെ ആരാണത് കഴുകുക?
26,ml,ചിലപ്പോൾ ഇടയൻ കൂടുതൽ ക്ഷമയും ആർദ്രതയും പ്രകടമാക്കേണ്ടത്‌ ആവശ്യമായിരുന്നത്‌ എന്തുകൊണ്ട്?
27,ml,എന്നാൽ അത് നമുക്കറിയില്ല മേയും.
28,ml,തമ്മില്‍ പരിചയപ്പെടുന്നത്.
29,ml,എന്ന വിഷയത്തിലായിരുന്നു ചർച്ച നടന്നത്.
30,ml,കാറും .
31,ml,"തീർച്ചയായും, എന്തെന്നാൽ ദൈവവചനം എല്ലായ്‌പോഴും നിവൃത്തിയേറുന്നു."
32,ml,കുടുംബ പ്രേക്ഷകര്‍ക്ക് ഈ സിനിമ വളരെയധികം ഇഷ്ടപെടുമെന്ന് തന്നെ ഞാന്‍ വിശ്വസിക്കുന്നു.
33,ml,ഗ്രീക്കുകള്‍ക്കിടയില്‍ എന്തോ കലഹം ഉണ്ടായിരിക്കും.
34,ml,ഇതിനാൽ ഇതുപയോഗിച്ച് നിർമ്മിക്കുന്ന മരുന്നിന് വിലയേറുകയും ചെയ്യുന്നു.
35,ml,"പദ്ധതി ഉദ്ഘാടനത്തിനു ശേഷം ഗുണഭോക്താക്കളുടെ രജിസ്‌ട്രേഷനും, ജിയോ ടാഗിങ്ങിനും അക്കൗണ്ട് വേരിഫിക്കേഷനും കുറച്ച് മാസങ്ങള്‍ കൂടി വേണ്ടി വന്നു."
36,ml,ഇന്ത്യക്കായി ദീപ്തി ശർമ രണ്ട് വിക്കറ്റുകൾ വീഴ്ത്തി
37,ml,ഈ പ്രദേശത്ത് പല വീടുകളിലും മോഷണ ശ്രമം നടന്നതായി നാട്ടുകാര്‍ പറഞ്ഞു.
38,ml,പിന്നീട് ദില്ലിയിലും മുംബൈയിലുമായി രണ്ടു വിവാഹസൽക്കാരങ്ങളും ഗംഭീരമായി നടന്നു.
39,ml,ഈയൊരു പ്രോഗ്രാമിൽ പങ്കെടുത്ത് വിജയകരമാക്കാൻ ഞങ്ങളോട് സഹകരിച്ച എല്ലാവർക്കും നന്ദി.
40,ml,ഇന്ത്യയുടെ ആദ്യത്തെ സംയുക്ത സേനാ മേധാവിയായി ജനറൽ ബിപിൻ റാവത്ത് ചുമതലയേറ്റു
41,ml,സംഭവത്തില്‍ മുഖം നോക്കാതെയുള്ള ശക്തമായ നടപടിയുണ്ടാകുമെന്നും അദ്ദേഹം വ്യക്തമാക്കി.
42,ml,"ജാതി, മത, വര്‍ഗഭേദമില്ലാതെ എല്ലാ പൗരന്‍മാരേയും ഉള്‍ക്കൊള്ളുന്നതാണ് ഇന്ത്യയുടെ ഭരണഘടന."
43,ml,”എനിക്ക് ചെന്നൈയെക്കുറിച്ച് ഓര്‍മയുണ്ട്.
44,ml,മുറിയില്‍ പിടിവലിയോ മറ്റോ നടന്നതിന്റെ ലക്ഷണമില്ലെന്ന് പോലീസ് പറഞ്ഞു.
45,ml,വൈറ്റ് ഹൗസിന് സമീപത്തെ തെരുവിന് ബ്ലാക്ക് ലൈവ്‌സ് മാറ്റര്‍ പ്ലാസ എന്ന് പുനര്‍നാമം നല്‍കി മേയര്‍
46,ml,ഇതേക്കുറിച്ച് നിരവധി ആക്ഷേപങ്ങള്‍ ഉണ്ടായിട്ടുണ്ട്.
47,ml,സമീപത്തെ സിസിടിവി ക്യാമറകള്‍ കൃത്യമായി പ്രവര്‍ത്തിച്ചിരുന്നില്ല എന്നാണ് അപകടശേഷം പൊലീസ് പറഞ്ഞിരുന്നത്.
48,ml,വ്യത്യസ്ത വേഷങ്ങള്‍
49,ml,"നേതാവേ, അതത്ര മാരകമൊന്നുമല്ല."
50,ml,പാകിസ്താനുമായിള്ള അമേരിക്കന്‍ സൗഹൃദത്തില്‍ വിള്ളല്‍ വീഴാന്‍ തുടങ്ങിയിട്ട് നാളുകള്‍ കുറച്ചായി.
51,ml,"എവിടെ ഭയം, നിന്ന് വന്നു?"
52,ml,ഇതിന്റെ ചിത്രങ്ങളും വീഡിയോയും സോഷ്യൽ മീഡിയയിൽ നേരത്തെ പ്രചരിച്ചിരുന്നു.
53,ml,ട്ടുള്ളത്.
54,ml,കേരളത്തിലെ കൊല്ലം ജില്ലയുടെ‍ കിഴക്കുഭാഗത്ത് സ്ഥിതി ചെയ്യുന്ന ഒരു ഗ്രാമമാണ് കുണ്ടയം.
55,ml,എവിടുന്നാ വന്നത്?
56,ml,മകന്‍റെ ബീജത്തിന്‍ മേല്‍ പിതാവിന് മൌലിക അവകാശങ്ങളില്ലെന്ന് കോടതി വ്യക്തമാക്കി.
57,ml,പോളിംഗ് ഉദ്യോഗസ്ഥര്‍ ഇത് ശരിയാക്കാനുള്ള ശ്രമത്തിലാണ്.
58,ml,'അപകടത്തിലാണ് അവന്‍ മരിച്ചത്.
59,ml,പ്രധാന തീം
60,ml,ഇത് വൻ വിജയമായി.
61,ml,സുഭാഷ് ചന്ദ്രന്‍ പറയുന്നു.
62,ml,ആഷിക് അബു അവതരിപ്പിക്കുന്ന ഒപിഎം സിനിമാസിന്റെ ബാനറില്‍ നടി റിമ കല്ലിങ്കല്‍ ആണ് ചിത്രം നിർമിക്കുന്നത്.
63,ml,വിഷയം പരിഗണിക്കാമെന്ന് മന്ത്രി ഉറപ്പുനൽകിയെന്ന് അസ്ഹരി പറഞ്ഞു.
64,ml,വൃത്തികെട്ട നായകൾ !
65,ml,എന്നാൽ ഈ വൈവിധ്യം യഹോവയ്‌ക്കു സ്വീകാര്യമാണ്‌.
66,ml,തിരുവനന്തപുരം: ലൈംഗിക പീഡനക്കേസില്‍ മുന്‍കൂര്‍ ജാമ്യം ലഭിച്ച ബിനോയ് കോടിയേരി ഡി. എന്‍. എ പരിശോധനയ്ക്ക് രക്ത സാമ്പിള്‍ നല്‍കുന്നതിനായി മുംബൈ ഓഷിവാര പൊലീസ് സ്റ്റേഷനില്‍ ഹാജരാകും.
67,ml,"യുകെയുടെ ശേഷിക്കുന്ന ഭാഗങ്ങള്‍ക്കൊപ്പം നോര്‍ത്തേണ്‍ അയര്‍ലണ്ട് യൂറോപ്യന്‍ യൂണിയന്റെ കസ്റ്റംസ് യൂണിയന്‍ വിടുമ്പോഴും ആ രാജ്യത്തെ യൂണിയന്റെ സിംഗിള്‍ മാര്‍ക്കറ്റില്‍ നിലനിര്‍ത്തുക, ഓള്‍ ഐലന്റ് റെഗുലേറ്ററി സോണില്‍ നിലകൊള്ളുന്നത് തീരുമാനിക്കുന്നതിനുള്ള വീറ്റോ അധികാരം നോര്‍ത്തേണ്‍ അയര്‍ലണ്ടിന് നല്‍കുക, അതിര്‍ത്തിയില്‍ നിന്നുമകലെ എപ്പോഴും കസ്റ്റംസ് പരിശോധനകള്‍ നടത്തും, പുതിയ മാനദണ്ഡങ്ങള്‍ നടപ്പിലാക്കുന്നതിനായി ബെല്‍ഫാസ്റ്റിനും ഡബ്ലിനും പണം നല്‍കും, യുകെയ്ക്കും അയര്‍ലണ്ടിനും ഇടയില്‍ ഫ്രീഡം ഓഫ് മൂവ്‌മെന്റ് നിലനിര്‍ത്തും, എന്നിവയാണ് ബാക്ക് സ്റ്റോപ്പിന് പകരമായി ബോറിസ് സമര്‍പ്പിച്ചിരിക്കുന്ന അഞ്ച് പോയിന്റ് മാസ്റ്റര്‍ പ്ലാനിലെ പോയിന്റുകള്‍."
68,ml,സമധാനപരമായാണ് അവര്‍ സമരം നടത്തിയിരുന്നത്.
69,ml,ബി. ജെ. പി തരംതാണ രാഷ്​ട്രീയമാണ്​ കളിക്കുന്നതെന്ന്​ കോൺഗ്രസ്​ ആരോപിച്ചു.
70,ml,അഡ്‌ലെയ്ഡിലെ ആദ്യ ടെസ്റ്റില്‍ ഒന്നാം ഇന്നിംഗ്സ് ലീഡ് നേടിയശേഷം രണ്ടാം ഇന്നിംഗ്സില്‍ വെറും 36 റണ്‍സിന് പുറത്തായാണ് ഇന്ത്യ ദയനീയ തോല്‍വി ഏറ്റുവാങ്ങിയത്.
71,ml,പുഞ്ചിരിയോടെ ഞങ്ങൾ അവർക്ക് നമസ്‌കാരം പറയും.
72,ml,സമയബന്ധിതമായി പൂർത്തീകരിക്കും.
73,ml,അവര്‍ക്ക് കാലുകളുണ്ടോ നടക്കാന്‍? കൈകളുണ്ടോ പിടിക്കാന്‍? കണ്ണുകളുണ്ടോ കാണാന്‍? കാതുകളുണ്ടോ കേള്‍ക്കാന്‍? പറയുക: നിങ്ങള്‍ നിങ്ങളുടെ പങ്കാളികളെ വിളിക്കൂ. എന്നിട്ട് എനിക്കെതിരെ തന്ത്രങ്ങള്‍ പ്രയോഗിക്കൂ. എനിക്കൊട്ടും അവധി അനുവദിക്കേണ്ടതില്ല.
74,ml,കോമഡി വേഷത്തിലെ മികച്ച അഭിനയത്തിനുള്ള എഫ്‌എൻ‌ബി ദേശീയ വീറ്റ അവാർഡ് അവർ നേടി.
75,ml,എന്നാല്‍ പിന്നീട് ഈ വേഷങ്ങളില്‍ നിന്ന് താരം ഒഴിവാക്കപ്പെട്ടു.
76,ml,കുറച്ചുവെള്ളം തളിച്ച് മീന്‍പൊടി ചെറുതായി നനയ്ക്കുക.
77,ml,രാജ്‌കോട്ടിലെ കച്ച് ജില്ലയിലെ ഭുജ് എന്ന സ്ഥലത്താണ് സംഭവം.
78,ml,"ജര്‍മ്മനി, നെതര്‍ലന്‍സ്, അര്‍ജന്റീന, ക്യാനഡ എന്നിവരുള്‍പ്പെട്ട ടീമിലാണ് ഇന്ത്യ കളിക്കുക."
79,ml,അത്‌ ദേശാഭിമാനപരമായ കടമയാണ്‌.
80,ml,മത്തായി 5: ​ 45 - ലെ തത്ത്വം നമ്മുടെ തീരുമാനത്തെ സ്വാധീനിക്കുകയില്ലേ?
81,ml,"നന്മയെ തടയുന്നവന്‍, അതിക്രമി, മഹാപാപി."
82,ml,സംഭവസ്ഥലം മുഴുവൻ പോലീസ് നിരീക്ഷണത്തിലാണ്.
83,ml,ആ വിധത്തിലും ക്രിസ്‌ത്യാനികൾ യേശു വെച്ച മാതൃക പിൻപറ്റുന്നു.
84,ml,വലിയ സാഹസമായിരുന്നു ഇത്.
85,ml,1936 ലാണ് ക്ഷേത്രം നിര്‍മിക്കപ്പെട്ടത്
86,ml,ജീരകം - അര സ്പൂൺ.
87,ml,"‘അസ്വസ്ഥത’ എന്ന വാക്കിൽ അ,സ്വ,സ്ഥ,ത എന്നിങ്ങനെ നാല് അക്ഷരങ്ങളാണുള്ളത്."
88,ml,കൂടുതല്‍ ഇന്ധനചെലവിലേയ്ക്കും ഇത് വഴിവെച്ചു.
89,ml,Home > ഇന്ത്യ > ജസ്റ്റിസ് രഞ്ജൻ ഗൊഗോയ് .
90,ml,അതാളുകള്‍ കൂടുതല്‍ വാങ്ങും.
91,ml,മൂന്നാഴ്ചയ്ക്കിടെ മൂന്നാമത്തെ സംഭവമാണിത്.
92,ml,പാലക്കാട് കരുണ മെഡിക്കല്‍ കോളേജ്
93,ml,മുത്തശ്ശി മരിച്ചു.
94,ml,നീ കാണുന്നില്ലേ. അല്ലാഹു മാനത്തുനിന്നു മഴ വീഴ്ത്തുന്നത്? അതുവഴി ഭൂമി പച്ചപ്പുള്ളതായിത്തീരുന്നു. അല്ലാഹു എല്ലാം സൂക്ഷ്മമായി അറിയുന്നവനും തിരിച്ചറിവുള്ളവനുമാണ്.
95,ml,ഫലം നമ്മുടെ പ്രശ്‌നമല്ല.
96,ml,മുംബൈ: ഇന്ത്യന്‍ ക്രിക്കറ്റ് ടീമിന്റെ അഭിവാജ്യ ഘടകമാണ് രോഹിത് ശര്‍മ
97,ml,3 ഇടത്തരം ബൾബ് ഉള്ളി.
98,ml,തെറ്റായ പ്രചാരണങ്ങളാണ് ഇവര്‍ നടത്തിക്കൊണ്ടിരിക്കുന്നത്.
99,ml,20 -‍ാ‍ം നൂറ്റാണ്ടിന്‍റെ ആരംഭത്തിൽ മാത്രമാണ്‌ രക്തപ്പകർച്ച എന്ന ചികിത്സാരീതി സർവസാധാരണമായി തീർന്നത്‌.
100,ml,16ആം വയസ്സിൽ സിനിമയിൽ അഭിനയം തുടങ്ങിയ ഷക്കീലയുടെ സംഭവബഹുലമായ ജീവിതകഥയാണ് ചിത്രത്തിൽ പറയുന്നത്.
101,ml,അതിനായാണ് പ്രവര്‍ത്തിക്കുന്നത് -അദ്ദേഹം വിശദീകരിച്ചു.
102,ml,നിരവധി പേർ സഹായവുമായി എത്തി.
103,ml,"എന്നാല്‍, സ്ത്രീകളെ അപകീര്‍ത്തിപ്പെടുത്തിയതിന് അദ്ദേഹം ക്ഷമ ചോദിച്ചില്ല."
104,ml,എനിക്ക് വ്യക്തിപരമായ ഒരു താല്‍പ്പര്യവുമില്ല.
105,ml,"‘‘ഇന്ത്യയിലെ സംസ്ഥാന രാഷ്​ട്രീയത്തിൽ, പ്രത്യേകിച്ച്​ ബിഹാറിൽ ഗവർണറുടെ പങ്കിനെ കുറിച്ച്​ വിമർശനാത്മകമായി വിലയിരുത്തുക."
106,ml,എന്നാൽ ഇതുവരെ പോലും വിൽപ്പന ആരംഭം ആരംഭിച്ചില്ല.
107,ml,സ്ക്രീൻ കുറയ്ക്കാൻ
108,ml,മുല്ലപ്പെരിയാര്‍: കനത്ത മഴയില്‍ ജലനിരപ്പ് 140 അടിയിലേക്ക്
109,ml,"പിന്നീട് തുക 60,000 രൂപയായി ഇവർ കുറച്ചു."
110,ml,"ഒലിന്ദേഴ്സ്, സൈപ്രസ്, മാതളനാരകം, ഒലീവ്, ചെസ്റ്റ്നട്ട്, മരങ്ങൾ എന്നിവയെ ഇവിടെ കാണാൻ കഴിയും."
111,ml,അവിടെനിന്നു നടക്കണം.
112,ml,പൊലീസിനോട് ഇത് അറിയിച്ചിട്ടും നടപടി ഉണ്ടായിരുന്നില്ല.
113,ml,നിര്‍മാണം നടന്നുവരുന്നു.
114,ml,ആ ദിവസങ്ങള്‍ വളരെ അമൂല്യമായിരുന്നു.
115,ml,ഇത് നാടിന് ആവശ്യമാണ്.
116,ml,അവരും തളർന്നു കാണും.
117,ml,റവന്യൂമന്ത്രിയും ചീഫ് സെക്രട്ടറിയും ഉന്നത ഉദ്യോഗസ്ഥരും യോഗത്തില്‍ പങ്കെടുത്തു.
118,ml,നിന്റെ ചട്ടങ്ങളെ ഇടവിടാതെ എന്നേക്കും ആചരിപ്പാന്‍ ഞാന്‍ എന്റെ ഹൃദയത്തെ ചായിച്ചിരിക്കുന്നു.സാമെക്
119,ml,ഇന്ത്യ കിരീടം ചൂടിയ 2007ലെ ടി20 ലോകകപ്പിലും 2013ലെ ചാംപ്യൻസ് ട്രോഫിയിലും ധോണി നയിച്ച ടീമിന്റെ ഭാഗമായിരുന്നു പഠാൻ.
120,ml,പലതവണ ഇവര്‍ ഇതുസംബന്ധിച്ച് പോലീസിന് പരാതി നല്‍കിയിരുന്നു.
121,ml,നിലവിൽ 87 പേരാണ് ഇവിടെ ചികിത്സയിലുള്ളത്.
122,ml,മോഷ്ടിക്കുന്നയാൾ കള്ളൻ തന്നെയാണ്.
123,ml,പൊങ്കലിനാണ് ചിത്രം റിലീസാവുന്നത്.
124,ml,രൂപം ചരിത്രം തികച്ചും വ്യത്യസ്തമാണ്.
125,ml,"ഈ മധുരപലഹാരം തയ്യാറാക്കുന്നതിനായി, താഴെ ചേരുവകൾ ആവശ്യമാണ്:"
126,ml,"ഹൃദയത്തിൽനിന്ന് ഒരു പുഞ്ചിരി എടുത്തണിയുക, നിങ്ങൾക്കു ധരിക്കാൻ കഴിയുന്നതിൽ ഏറ്റവും ആകർഷകമായ ഉടയാടയാണ്‌ അത്‌."
127,ml,പ്രശ്‌നം അറിഞ്ഞയുടന്‍തന്നെ ഹാക്ക് ചെയ്യപ്പെട്ട അക്കൗണ്ട് ലോക്ക് ചെയ്യുകയും ഫെയ്‌സ്ബുക്കുമായി സഹകരിച്ച് അക്കൗണ്ട് വീണ്ടെടുക്കാനുള്ള ശ്രമങ്ങള്‍ നടത്തുകയാണെന്നും ട്വിറ്റര്‍ പ്രതിനിധി പറഞ്ഞു.
128,ml,ഇയാളെ കളമശേരി ആശുപത്രിയിൽ ശസ്ത്രക്രിയക്ക് വിധേയനാക്കി.
129,ml,ഡോക്ടര്‍ കരുണയുള്ളവളായിരുന്നു.
130,ml,ബിഹാര്‍ ചീഫ് സെക്രട്ടറിയുടെ അനുഭവം കേരളാ ചീഫ് സെക്രട്ടറിയ്ക്ക് ആരെങ്കിലും പറഞ്ഞ് മനസ്സിലാക്കി കൊടുക്കണമെന്നും അദ്ദേഹം ആവശ്യപ്പെട്ടു.
131,ml,ഇയാള്‍ക്ക് ഗുരുതര പരിക്കില്ലെന്നാണ് വിവരം.
132,ml,മുൻ പ്രധാനമന്ത്രി ചന്ദ്രശേഖറുടെ മകനാണ് നീരജ്.
133,ml,ഈ മാസം 23ന് ചേരുന്ന ബിസിഐയുടെ വാര്‍ഷിക ജനറല്‍ മീറ്റിങിലായിരിക്കും പുതിയ സെലക്ഷന്‍ കമ്മിറ്റിയെ തിരഞ്ഞെടുക്കുക
134,ml,"ആകാശങ്ങളിലും ഭൂമിയിലും ഒളിഞ്ഞു കിടക്കുന്നത് പുറത്ത് കൊണ്ട് വരികയും, നിങ്ങള്‍ രഹസ്യമാക്കുന്നതും പരസ്യമാക്കുന്നതും അറിയുകയും ചെയ്യുന്നവനായ അല്ലാഹുവിന് അവര്‍ പ്രണാമം ചെയ്യാതിരിക്കുവാന്‍ വേണ്ടി (പിശാച് അങ്ങനെ ചെയ്യുന്നു.)"
135,ml,ഐ. എം. വിജയന്‍ | ഫോട്ടോ: ബിജു വര്‍ഗീസ് \ മാതൃഭൂമി
136,ml,അമ്രപാലി ഗ്രൂപ്പ് നടത്തിയ ചാരിറ്റി പ്രവര്‍ത്തനങ്ങളില്‍ ധോണിയുടെ ഭാര്യ സാക്ഷി പങ്കാളിയായിരുന്നു.
137,ml,ഇനി മറ്റൊരു സംഭവം.
138,ml,"ഇത്‍ 19,027 ഹെക്ടർ (47,020 ഏക്കർ) ഭൂപ്രദേശം ഉൾക്കൊള്ളുന്നു."
139,ml,ആരാണ്സംവിധാനംചെയ്യുന്നത്?
140,ml,ആരോഗ്യ പരിചരണം
141,ml,കര്‍ണാടകത്തിലെ ഗ്രാമാന്തരങ്ങളില്‍ ഒരു ട്രൂപിന്റെ ഭാഗമായി പഴയൊരു മറ്റഡോറില്‍ സഞ്ചരിച്ചിരുന്ന തങ്ങളെ അദ്ദേഹം ഓര്‍ത്തെടുക്കുന്നു.
142,ml,അവിശ്വാസികൾക്കും സഹായഹസ്‌തമേകാൻ നാം ശ്രമിക്കും.
143,ml,എന്നാല്‍ ഇക്കാര്യത്തിലും സ്ഥിരീകരണമുണ്ടായിട്ടില്ല.
144,ml,ചിത്രത്തിന്റെ ഫസ്റ്റ്‌ലുക്ക് പോസ്റ്റര്‍ അണിയറ പ്രവര്‍ത്തകര്‍ സമൂഹ മാധ്യമങ്ങളില്‍ പുറത്തുവിട്ടിരുന്നു.
145,ml,സർക്കാർ ഹയർ സെക്കൻഡറി സ്കൂൾ ഭവൻ
146,ml,ഇന്ത്യയിലെ എഞ്ചിനീയറിങ്ങ് സാങ്കേതികപഠനത്തിന്റെ ഉന്നതകലാലയങ്ങളാണ് ഐഐടികൾ.
147,ml,രണ്ടുപേരെ ഇതുമായി ബന്ധപ്പെട്ട് കസ്റ്റഡിയിലെടുത്തു.
148,ml,ഓര്‍ക്കുക കൃത്യനിഷ്ഠതയാണ് പ്രധാനം.
149,ml,വ്യത്യാസം ഒരുപാടാണ്.
150,ml,ചില ശ്രമങ്ങളൊക്കെ ഈ വിഷയത്തില്‍ നടത്തിയിരുന്നുവെങ്കിലും വേണ്ടത്ര വിജയിച്ചില്ല.
